title,link,date
UNRA STARTS WORKS ON KAMPALA-MASAKA HIGHWAY IN UGANDA,https://gambetanews.com/unra-starts-works-on-kampala-masaka-highway-in-uganda/,19/12/2022
HEAVY FLOOD RESULT TO DEATH OF MORE THAN 120 PEOPLE IN DR CONGO CAPITAL,https://gambetanews.com/heavy-flood-result-to-death-of-more-than-120-people-in-dr-congo-capital/,14/12/2022
WHY DAR PORT NEEDS STRATEGIC INVESTMENTS TO BOOST EFFICIENCY IN TANZANIA,https://gambetanews.com/why-dar-port-needs-strategic-investments-to-boost-efficiency-in-tanzania/,06/12/2022
EUROPEAN UNION TO SIGN MoU WITH MOROCCO TO ACCELERATE ENERGY TRANSITION,https://gambetanews.com/european-union-to-sign-mou-with-morocco-to-accelerate-energy-transition/,30/11/2022
UPGRADE OF TSUMEB RAILWAY CONTINUE IN NAMBIA,https://gambetanews.com/upgrade-of-tsumeb-railway-continue-in-nambia/,15/11/2022
LOBITO CORRIDOR RAIL LINE PLANNED FROM ANGOLA TO DRC,https://constructafrica.com/news/lobito-corridor-rail-line-planned-angola-drc,15/08/2022
RWANDA’s U.S.$255Million VOLCANOES’s PARK EXPANSION PROJECT,https://gambetanews.com/rwandas-u-s-255million-volcanoess-park-expansion-project/,11/04/2022
CONSTRUCTION OF 125KM KASINDI-BENI-BUTEMBO ROAD PROJECT BEGINS,https://gambetanews.com/construction-of-125km-kasindi-beni-butembo-road-project-begins/,25/03/2022
RRB MEMBERS UNHAPPY WITH DELAY IN TANZANIA SUMBAWANGA AIRPORT CONSTRUCTION,https://gambetanews.com/rrb-members-unhappy-with-delay-in-tanzania-sumbawanga-airport-construction/,01/03/2022
TANZANIA AND BURUNDI SIGN AGREEMENT FOR RAILWAY LINKING BOTH COUNTRIES,https://constructafrica.com/news/tanzania-and-burundi-sign-agreement-railway-linking-both-countries,20/02/2022
CONSTRUCTION OF NEW GISENYI HOSPITAL TO COST €32M IN RWANDA,https://gambetanews.com/construction-of-new-gisenyi-hospital-to-cost-e32m-in-rwanda/,08/02/2022
TAPPING INTO DRC’S SOLAR POTENTIAL WITH KOLWEZI SOLAR PLANT,https://constructafrica.com/news/tapping-drcs-solar-potential-kolwezi-solar-plant,06/01/2022
"DRC – UGANDA ROAD NETWORK, CONNECTING CROSS BORDER LIVELIHOODS",https://constructafrica.com/news/drc-uganda-road-network-connecting-cross-border-livelihoods,23/12/2021
RADISSON HOTEL GROUP SET TO DOUBLE ITS WEST AND CENTRAL AFRICA PORTFOLIO BY 2025,https://constructafrica.com/news/radisson-hotel-group-set-double-its-west-and-central-africa-portfolio-2025,23/10/2021
DP WORLD PARTNERS WITH CDC GROUP TO INVEST IN PORTS AND LOGISTICS ACROSS AFRICA,https://constructafrica.com/news/dp-world-partners-cdc-group-invest-ports-and-logistics-across-africa,12/10/2021
BUILDEXPO AFRICA – LARGEST BUILDING AND CONSTRUCTION EXHIBITION RETURNS TO EAST AFRICA,https://gambetanews.com/buildexpo-africa-largest-building-and-construction-exhibition-returns-to-east-africa/,14/08/2021
LAKE TANGANYIKA – THE WORLD’S SECOND-DEEPEST LAKE TRIGGERS ENGINEERING CHALLENGE IN BURUNDI,https://gambetanews.com/lake-tanganyika-the-worlds-second-deepest-lake-triggers-engineering-challenge-in-burundi/,13/07/2021
9 MAJOR INFRASTRUCTURE CONSTRUCTION PROJECTS IN AFRICA,https://constructafrica.com/blog/9-major-infrastructure-construction-projects-africa,06/07/2021
CHINA’S CGGC TO CONSTRUCT $700M CAMEROON-CONGO CHOLLET DAM ,https://constructafrica.com/news/chinas-cggc-construct-700m-cameroon-congo-chollet-dam,06/07/2021
AUSTRALIA’S RICHEST MAN PLANS TO BUILD THE LARGEST HYDROELECTRIC PROJECT IN AFRICA,https://gambetanews.com/australias-richest-man-to-build-africas-largest-hydroelectric-project/,17/06/2021
PORT INFRASTRUCTURE UPGRADE TO BOOST TANZANIA’S REGIONAL TRADING STANDING,https://constructafrica.com/news/port-infrastructure-upgrade-boost-tanzanias-regional-trading-standing,24/05/2021
UGANDA: AFDB SIGNS US$229.5M FINANCING AGREEMENT FOR KAMPALA-JINJA EXPRESSWAY,https://constructafrica.com/news/uganda-afdb-signs-us2295m-financing-agreement-kampala-jinja-expressway,19/03/2021
PRESIDENT OF BOTSWANA IN DR CONGO TO STRENGTHEN BILATERAL COOPERATION,https://gambetanews.com/president-of-botswana-in-dr-congo-to-strengthen-bilateral-cooperation/,16/03/2021
ALEXANDRE NZIRORERA SPEARHEADS INTRODUCTION OF BIM TECHNOLOGY IN RWANDA,https://constructafrica.com/news/alexandre-nzirorera-spearheads-introduction-bim-technology-rwanda,13/02/2021
SOUTH AFRICA’S CYRIL RAMAPHOSA HANDSOVER AFRICAN UNION CHAIRPERSON TO PRESIDENT OF DR CONGO,https://gambetanews.com/south-africas-cyril-ramaphosa-handsover-african-union-chairperson-to-president-of-dr-congo/,09/02/2021
SOLVING THE ISSUE OF ILLEGAL MINING ACTIVITIES IN DR CONGO,https://gambetanews.com/solving-the-issue-of-illegal-mining-activities-in-dr-congo/,08/02/2021
51 AFRICAN LEADERS’ VOTE IN FAVOR OF MOUSSA FAKI MAHAMAT FOR A 2ND TERM AS AFRICAN UNION CHAIRMAN,https://gambetanews.com/51-african-leaders-vote-in-favor-of-moussa-faki-mahamat-for-a-2nd-term-as-african-union-chairman/,08/02/2021
MOROCCO AND DR CONGO SIGN AGREEMENT FOR COOPERATION IN ELECTRICITY REGULATION,https://gambetanews.com/morocco-and-dr-congo-sign-agreement-for-cooperation-in-electricity-regulation/,25/01/2021
CHINA – AFRICA COOPERATION REMAINS STABLE – CHINESE STATE COUNCILOR REAFFIRMS,https://gambetanews.com/china-africa-cooperation-remains-stable-chinese-state-councilor-reaffirms/,19/01/2021
R&B SINGER AKON TO FINANCE MINING ACTIVITIES IN CONGO,https://gambetanews.com/rb-singer-akon-to-finance-mining-activities-in-congo/,07/01/2021
CHINA GRANTS DEBT RELIEF TO DEMOCRATIC REPUBLIC OF CONGO,https://gambetanews.com/china-grants-debt-relief-to-democratic-republic-of-congo/,07/01/2021
HOW AFRICAN COUNTRIES ARE LACKING FUND TO PROVIDE GREEN ENERGY,https://gambetanews.com/how-african-countries-are-lacking-fund-to-provide-green-energy/,07/12/2020
DR CONGO DEPLOYS TECHNOLOGY TO TRACK IT’S MINERALS.,https://gambetanews.com/congo-deploys-technology-to-track-its-minerals/,22/05/2018
DP WORLD TO INVEST OVER US$350m FOR PORT IN DR CONGO,https://gambetanews.com/dp-world-us350m-dr-congo-port/,26/03/2018
SWISS BANK SANCTIONS CONGO’S PRESIDENT AND ALLIES.,https://gambetanews.com/swiss-bank-sanctions-congos-kabila/,22/02/2018
"U.S., U.K. SPEAKS AGAINST THE CLAMPDOWN OF A PEACEFUL PROTEST BY DR CONGO",https://gambetanews.com/u-s-u-k-speaks-against-the-clampdown-of-a-peaceful-protest-by-dr-congo/,24/01/2018
Dangote Cement to open largest Cement Plant in Congo,https://gambetanews.com/dangote-cement-to-open-largest-cement-plant-in-congo/,21/11/2017
33 Dead After Freight Train Carrying Fuel Derails In Congo,https://gambetanews.com/33-dead-after-freight-train-carrying-fuel-derails-in-congo/,13/11/2017
REPUBLIC OF CONGO WAIVES VISA REQUIREMENT FOR CENTRAL AFRICA CITIZENS,https://gambetanews.com/republic-of-congo-waives-visa-requirement-for-central-africa-citizens/,25/10/2017
FLOOD CLAIMS LIFE AND PROPERTIES IN EASTERN DR CONGO,https://gambetanews.com/flood-claims-life-and-properties-at-eastern-dr-congo/,20/09/2017
